,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
44,2,2,41,2,26,27,26,27,11,2,0,0,17,6,,0,4,1,2,0,0,2,2,2,44
45,2,2,42,2,11,34,11,34,5,2,0,0,31,4,1.0,0,4,1,2,0,0,2,2,2,45
46,6,1,43,2,11,34,11,34,8,2,0,0,32,4,0.0,0,4,1,2,0,0,2,2,2,46
47,7,1,44,2,33,6,33,6,8,2,0,0,33,4,1.0,0,4,1,2,0,0,2,2,2,47
48,0,0,45,2,34,10,34,10,11,3,0,0,32,9,1.0,0,3,0,0,0,0,2,2,2,48
49,0,0,46,2,35,30,35,30,5,3,0,0,4,9,,0,1,0,0,0,0,2,2,2,49
50,2,2,47,2,33,6,33,6,6,3,0,0,19,4,0.0,0,4,1,2,0,0,2,2,2,50
51,2,2,48,2,33,27,33,27,6,3,0,0,34,19,0.0,0,4,1,2,0,0,2,2,2,51
52,0,0,49,3,36,35,36,35,0,0,0,0,28,14,0.0,0,4,2,2,0,0,3,3,3,52
53,0,0,50,3,37,36,37,36,0,0,0,0,20,0,0.0,0,1,0,0,0,0,3,3,3,53
54,0,0,51,3,38,37,38,37,11,0,0,0,27,21,,1,2,3,3,0,0,3,3,3,54
55,0,0,14,3,25,38,25,38,8,0,0,0,28,22,0.0,1,2,3,3,0,0,3,3,3,55
56,0,0,52,3,39,6,39,6,7,1,0,0,26,3,1.0,1,4,0,0,0,0,3,3,3,56
57,4,2,53,3,1,4,1,4,4,1,0,0,35,4,1.0,0,4,1,2,0,0,3,3,3,57
58,7,1,54,3,1,4,1,4,11,1,0,0,6,4,1.0,0,4,1,2,0,0,3,3,3,58
59,0,0,55,3,40,39,40,39,5,1,0,0,36,21,,1,3,3,3,0,0,3,3,3,59
60,0,0,56,3,6,8,6,8,8,1,0,0,37,13,0.0,0,4,2,1,0,0,3,3,3,60
61,2,2,57,3,41,40,41,40,9,1,0,0,22,11,1.0,0,4,2,2,0,0,3,3,3,61
62,4,2,58,3,1,4,1,4,3,2,0,0,5,4,0.0,0,4,1,2,0,0,3,3,3,62
63,4,2,59,3,42,41,42,41,9,2,0,0,38,11,0.0,0,4,2,2,0,0,3,3,3,63
64,3,0,25,3,43,10,43,10,9,2,0,0,15,7,1.0,0,0,0,1,0,0,3,3,3,64
65,0,0,60,3,44,42,44,42,0,3,0,0,29,10,,0,4,2,1,0,0,3,3,3,65
66,0,0,61,4,45,43,45,43,3,0,0,0,34,7,,0,1,0,1,0,0,4,4,4,66
67,0,0,62,4,46,44,46,44,4,0,0,0,39,23,0.0,1,0,4,3,0,0,4,4,4,67
68,4,2,63,4,1,4,1,4,1,0,0,0,40,4,1.0,0,4,1,2,0,0,4,4,4,68
69,1,1,64,4,1,4,1,4,1,0,0,0,15,4,1.0,0,4,1,2,0,0,4,4,4,69
70,0,0,65,4,10,45,10,45,10,0,0,0,41,16,,0,0,0,0,0,0,4,4,4,70
71,0,0,66,4,47,31,47,31,5,0,0,0,23,8,1.0,1,4,3,3,0,0,4,4,4,71
72,4,2,67,4,1,4,1,4,1,1,0,0,9,4,1.0,0,4,1,2,0,0,4,4,4,72
73,0,0,68,4,46,46,46,46,8,1,0,0,35,14,0.0,0,4,2,2,0,0,4,4,4,73
74,0,0,69,4,48,0,48,0,9,1,0,0,36,8,0.0,1,3,3,3,0,0,4,4,4,74
75,0,0,70,4,48,43,48,43,7,2,0,0,37,3,1.0,0,2,0,0,0,0,4,4,4,75
76,0,0,71,4,46,47,46,47,3,2,0,0,36,11,0.0,0,4,2,2,0,0,4,4,4,76
77,0,0,72,4,10,48,10,48,1,2,0,0,42,18,0.0,0,1,0,1,0,0,4,4,4,77
78,0,0,73,4,49,49,49,49,9,2,0,0,15,17,0.0,0,1,2,1,0,0,4,4,4,78
79,0,0,74,4,12,50,12,50,7,3,0,0,43,14,,0,4,2,2,0,0,4,4,4,79
80,0,0,75,4,32,51,32,51,10,3,0,0,15,18,1.0,0,4,2,1,0,0,4,4,4,80
81,0,0,76,4,50,6,50,6,9,3,0,0,18,1,0.0,0,4,0,1,0,0,4,4,4,81
82,0,0,77,5,51,52,51,52,7,0,0,0,44,22,0.0,1,3,3,3,0,0,5,5,5,82
83,7,1,50,5,11,53,11,53,0,0,0,0,30,4,0.0,0,4,1,2,0,0,5,5,5,83
84,0,0,78,5,36,54,36,54,3,0,0,0,14,14,,0,4,2,2,0,0,5,5,5,84
85,8,0,63,5,41,55,41,55,1,0,0,0,26,18,,0,1,0,1,0,0,5,5,5,85
86,0,0,79,5,9,52,9,52,2,0,0,0,8,0,1.0,0,3,0,0,0,0,5,5,5,86
87,0,0,80,5,52,54,52,54,10,0,0,0,45,16,1.0,0,4,0,0,0,0,5,5,5,87
88,0,0,81,5,24,56,24,56,8,0,0,0,42,1,1.0,0,0,0,1,0,0,5,5,5,88
89,8,0,82,5,1,56,1,56,6,0,0,0,14,5,1.0,0,0,0,1,0,0,5,5,5,89
90,0,0,83,5,50,57,50,57,6,0,0,0,46,1,1.0,0,4,0,1,0,0,5,5,5,90
91,0,0,84,5,11,58,11,58,9,0,0,0,22,1,1.0,0,1,0,1,0,0,5,5,5,91
92,0,0,85,5,24,59,24,59,0,1,0,0,21,18,0.0,0,0,0,1,0,0,5,5,5,92
93,0,0,86,5,22,52,22,52,3,1,0,0,38,1,0.0,0,0,0,1,0,0,5,5,5,93
94,8,0,87,5,11,52,11,52,11,1,0,0,46,18,,0,0,0,1,0,0,5,5,5,94
95,0,0,35,5,53,21,53,21,5,1,0,0,16,8,1.0,1,4,3,3,0,0,5,5,5,95
96,0,0,88,5,54,9,54,9,5,1,0,0,41,0,1.0,0,2,0,0,0,0,5,5,5,96
97,0,0,70,5,17,60,17,60,9,1,0,0,40,22,0.0,1,2,3,3,0,0,5,5,5,97
98,0,0,89,5,1,56,1,56,9,1,0,0,14,5,1.0,0,0,0,1,0,0,5,5,5,98
99,0,0,90,5,33,61,33,61,7,2,0,0,26,24,0.0,0,4,2,2,0,0,5,5,5,99
100,0,0,91,5,17,35,17,35,3,2,0,0,25,1,0.0,0,4,0,1,0,0,5,5,5,100
101,7,1,92,5,1,57,1,57,1,2,0,0,40,4,1.0,0,4,1,2,0,0,5,5,5,101
102,0,0,93,5,32,62,32,62,2,2,0,0,35,9,1.0,0,3,0,0,0,0,5,5,5,102
103,0,0,94,5,55,2,55,2,11,2,0,0,13,9,,0,2,0,0,0,0,5,5,5,103
104,0,0,44,5,26,62,26,62,5,2,0,0,10,7,0.0,0,0,0,1,0,0,5,5,5,104
105,0,0,95,5,49,60,49,60,9,2,0,0,14,16,0.0,0,1,0,0,0,0,5,5,5,105
106,0,0,96,5,56,63,56,63,9,2,0,0,31,9,0.0,0,1,0,0,0,0,5,5,5,106
107,0,0,97,5,28,35,28,35,0,3,0,0,47,13,0.0,0,4,2,1,0,0,5,5,5,107
108,0,0,98,5,50,7,50,7,1,3,0,0,19,2,0.0,0,2,0,0,0,0,5,5,5,108
109,8,0,99,5,43,63,43,63,2,3,0,0,46,2,1.0,0,1,0,0,0,0,5,5,5,109
110,0,0,100,5,24,21,24,21,10,3,0,0,48,10,0.0,0,1,2,1,0,0,5,5,5,110
111,0,0,101,5,36,64,36,64,5,3,0,0,33,14,0.0,0,4,2,2,0,0,5,5,5,111
112,0,0,102,5,17,58,17,58,9,3,0,0,49,25,,0,2,0,0,0,0,5,5,5,112
113,0,0,11,6,52,9,52,9,7,0,0,0,11,25,0.0,0,2,0,0,0,0,6,6,4,113
114,4,2,50,6,1,4,1,4,0,0,0,0,39,4,0.0,0,4,1,2,0,0,6,6,4,114
115,5,2,103,6,1,4,1,4,3,0,0,0,50,4,0.0,0,4,1,2,0,0,6,6,4,115
116,9,3,78,6,1,4,1,4,3,0,0,0,31,4,0.0,0,4,1,2,0,0,6,6,4,116
117,7,1,104,6,1,4,1,4,5,0,0,0,37,4,1.0,0,4,1,2,0,0,6,6,4,117
118,4,2,105,6,1,4,1,4,9,0,0,0,12,4,1.0,0,4,1,2,0,0,6,6,4,118
119,0,0,106,6,57,23,57,23,9,0,0,0,31,2,0.0,0,3,0,0,0,0,6,6,4,119
120,0,0,107,6,58,65,58,65,4,1,0,0,16,0,1.0,0,2,0,0,0,0,6,6,4,120
121,1,1,108,6,1,4,1,4,4,1,0,0,51,4,1.0,0,4,1,2,0,0,6,6,4,121
122,0,0,89,6,59,38,59,38,8,1,0,0,35,2,,0,1,0,0,0,0,6,6,4,122
123,10,4,72,6,1,4,1,4,9,1,0,0,24,4,1.0,0,4,1,2,0,0,6,6,4,123
124,0,0,109,6,60,6,60,6,9,1,0,0,20,20,1.0,1,4,3,3,0,0,6,6,4,124
125,3,0,110,6,32,66,32,66,3,2,0,0,30,2,,0,2,0,0,0,0,6,6,4,125
126,0,0,20,6,61,67,61,67,4,2,0,0,33,1,1.0,0,0,0,1,0,0,6,6,4,126
127,0,0,22,6,62,38,62,38,10,2,0,0,51,1,1.0,0,1,0,1,0,0,6,6,4,127
128,0,0,10,6,32,48,32,48,11,2,0,0,52,1,0.0,0,1,0,1,0,0,6,6,4,128
129,0,0,111,6,61,68,61,68,5,2,0,0,53,9,0.0,0,1,0,0,0,0,6,6,4,129
130,0,0,112,6,63,47,63,47,5,2,0,0,35,10,0.0,0,4,2,1,0,0,6,6,4,130
131,0,0,96,6,64,69,64,69,5,2,0,0,28,13,1.0,0,4,2,1,0,0,6,6,4,131
132,5,2,113,6,1,4,1,4,8,2,0,0,9,4,,0,4,1,2,0,0,6,6,4,132
133,0,0,114,6,62,70,62,70,8,2,0,0,6,9,0.0,0,1,0,0,0,0,6,6,4,133
134,0,0,115,6,32,43,32,43,9,2,0,0,48,9,0.0,0,2,0,0,0,0,6,6,4,134
135,0,0,116,6,65,71,65,71,0,3,0,0,3,24,0.0,0,4,2,2,0,0,6,6,4,135
136,0,0,117,6,66,48,66,48,2,3,0,0,52,13,0.0,0,1,0,1,0,0,6,6,4,136
137,0,0,118,6,67,71,67,71,11,3,0,0,21,11,0.0,0,4,2,2,0,0,6,6,4,137
138,1,1,119,6,1,4,1,4,5,3,0,0,54,4,1.0,0,4,1,2,0,0,6,6,4,138
139,3,0,28,6,67,71,67,71,6,3,0,0,33,11,1.0,0,4,2,2,0,0,6,6,4,139
140,0,0,120,6,45,72,45,72,6,3,0,0,6,11,,0,4,2,2,0,0,6,6,4,140
141,9,3,121,6,1,4,1,4,6,3,0,0,55,4,0.0,0,4,1,2,0,0,6,6,4,141
142,4,2,122,7,1,4,1,4,1,0,0,0,49,4,0.0,0,4,1,2,0,0,7,7,6,142
143,0,0,65,7,68,73,68,73,11,0,0,0,3,23,,1,0,4,3,0,0,7,7,6,143
144,11,1,123,7,1,4,1,4,5,0,0,0,19,4,1.0,0,4,1,2,0,0,7,7,6,144
145,0,0,15,7,37,74,37,74,8,0,0,0,46,7,1.0,0,0,0,1,0,0,7,7,6,145
146,0,0,124,7,15,75,15,75,9,0,0,0,14,18,1.0,0,1,0,1,0,0,7,7,6,146
147,0,0,125,7,69,0,69,0,7,1,0,0,13,0,0.0,0,0,0,0,0,0,7,7,6,147
148,0,0,126,7,70,76,70,76,0,1,0,0,4,20,0.0,1,3,3,3,0,0,7,7,6,148
149,4,2,127,7,1,4,1,4,0,1,0,0,6,4,,0,4,1,2,0,0,7,7,6,149
150,3,0,128,7,3,77,3,77,3,1,0,0,56,12,1.0,0,3,0,0,0,0,7,7,6,150
151,0,0,129,7,71,31,71,31,11,1,0,0,48,2,,0,4,0,0,0,0,7,7,6,151
152,4,2,68,7,1,4,1,4,5,1,0,0,1,4,,0,4,1,2,0,0,7,7,6,152
153,2,2,55,7,1,4,1,4,6,1,0,0,45,4,0.0,0,4,1,2,0,0,7,7,6,153
154,4,2,38,7,1,4,1,4,9,1,0,0,54,4,0.0,0,4,1,2,0,0,7,7,6,154
155,9,3,130,7,1,4,1,4,9,1,0,0,26,4,,0,4,1,2,0,0,7,7,6,155
156,0,0,131,7,71,78,71,78,0,2,0,0,50,12,0.0,0,3,0,0,0,0,7,7,6,156
157,0,0,132,7,0,6,0,6,10,2,0,0,50,14,0.0,0,4,2,2,0,0,7,7,6,157
158,6,1,133,7,1,4,1,4,5,2,0,0,40,4,,0,4,1,2,0,0,7,7,6,158
159,1,1,134,7,1,4,1,4,9,2,0,0,38,4,1.0,0,4,1,2,0,0,7,7,6,159
160,0,0,135,7,72,79,72,79,7,3,0,0,49,8,1.0,1,3,3,3,0,0,7,7,6,160
161,2,2,75,7,1,4,1,4,0,3,0,0,54,4,1.0,0,4,1,2,0,0,7,7,6,161
162,7,1,136,7,1,4,1,4,0,3,0,0,23,4,1.0,0,4,1,2,0,0,7,7,6,162
163,2,2,137,7,1,4,1,4,10,3,0,0,38,4,0.0,0,4,1,2,0,0,7,7,6,163
164,12,1,102,7,1,4,1,4,10,3,0,0,5,4,,0,4,1,2,0,0,7,7,6,164
165,0,0,77,8,25,80,25,80,7,0,0,0,57,25,1.0,0,3,0,0,0,0,8,8,7,165
166,0,0,138,8,29,14,29,14,7,0,0,0,56,25,0.0,0,2,0,0,0,0,8,8,7,166
167,0,0,139,8,73,81,73,81,4,0,0,0,40,2,0.0,0,1,0,0,0,0,8,8,7,167
168,0,0,140,8,45,26,45,26,4,0,0,0,13,14,0.0,0,4,2,2,0,0,8,8,7,168
169,4,2,122,8,1,4,1,4,1,0,0,0,49,4,0.0,0,4,1,2,0,0,8,8,7,169
170,0,0,81,8,49,64,49,64,8,0,0,0,22,11,1.0,0,4,2,2,0,0,8,8,7,170
171,0,0,123,8,25,26,25,26,6,0,0,0,8,12,,0,3,0,0,0,0,8,8,7,171
172,0,0,83,8,28,25,28,25,6,0,0,0,6,12,0.0,0,0,0,0,0,0,8,8,7,172
173,0,0,141,8,74,79,74,79,4,1,0,0,29,25,1.0,0,3,0,0,0,0,8,8,7,173
174,0,0,142,8,73,82,73,82,2,1,0,0,0,2,1.0,0,0,0,0,0,0,8,8,7,174
175,0,0,143,8,50,28,50,28,9,1,0,0,3,0,0.0,0,3,0,0,0,0,8,8,7,175
176,0,0,144,8,75,17,75,17,9,1,0,0,4,2,0.0,0,0,0,0,0,0,8,8,7,176
177,0,0,37,8,76,83,76,83,9,1,0,0,10,26,0.0,1,5,5,4,0,0,8,8,7,177
178,0,0,109,8,55,84,55,84,4,2,0,0,3,18,0.0,0,4,2,1,0,0,8,8,7,178
179,0,0,145,8,62,85,62,85,8,2,0,0,32,16,0.0,0,0,0,0,0,0,8,8,7,179
180,0,0,146,8,77,86,77,86,9,2,0,0,15,22,0.0,1,3,3,3,0,0,8,8,7,180
181,11,1,147,8,1,4,1,4,7,3,0,0,12,4,,0,4,1,2,0,0,8,8,7,181
182,0,0,148,8,38,84,38,84,3,3,0,0,51,22,0.0,1,4,3,3,0,0,8,8,7,182
183,0,0,149,8,72,87,72,87,10,3,0,0,49,8,0.0,1,2,3,3,0,0,8,8,7,183
184,0,0,150,8,38,88,38,88,9,3,0,0,37,22,1.0,1,4,3,3,0,0,8,8,7,184
185,0,0,151,8,78,42,78,42,8,4,0,0,6,10,1.0,0,4,2,1,0,0,8,8,7,185
186,0,0,152,8,79,89,79,89,8,4,0,0,56,27,0.0,0,4,2,1,0,0,8,8,7,186
187,0,0,153,8,80,90,80,90,9,4,0,0,42,25,1.0,0,2,0,0,0,0,8,8,7,187
188,0,0,154,9,29,91,29,91,0,0,0,0,6,16,1.0,0,2,0,0,0,0,9,9,6,188
189,0,0,155,9,81,92,81,92,3,0,0,0,56,8,0.0,1,3,3,3,0,0,9,9,6,189
190,4,2,140,9,1,4,1,4,4,0,0,0,41,4,0.0,0,4,1,2,0,0,9,9,6,190
191,0,0,156,9,82,93,82,93,2,0,0,0,42,9,,0,0,0,0,0,0,9,9,6,191
192,4,2,157,9,1,4,1,4,2,0,0,0,37,4,,0,4,1,2,0,0,9,9,6,192
193,0,0,81,9,55,94,55,94,11,0,0,0,1,0,0.0,0,2,0,0,0,0,9,9,6,193
194,11,1,66,9,1,4,1,4,11,0,0,0,11,4,1.0,0,4,1,2,0,0,9,9,6,194
195,0,0,16,9,11,95,11,95,9,0,0,0,51,1,,0,0,0,1,0,0,9,9,6,195
196,0,0,158,9,75,6,75,6,7,1,0,0,4,10,0.0,0,4,2,1,0,0,9,9,6,196
197,0,0,159,9,54,78,54,78,2,1,0,0,53,16,1.0,0,3,0,0,0,0,9,9,6,197
198,0,0,160,9,80,45,80,45,2,1,0,0,23,8,1.0,1,3,3,3,0,0,9,9,6,198
199,0,0,161,9,1,0,1,0,9,1,0,0,31,2,0.0,0,0,0,0,0,0,9,9,6,199
200,0,0,162,9,83,96,83,96,7,2,0,0,39,28,0.0,1,2,3,3,0,0,9,9,6,200
201,0,0,163,9,31,96,31,96,0,2,0,0,6,9,,0,1,0,0,0,0,9,9,6,201
202,0,0,164,9,82,0,82,0,4,2,0,0,58,2,0.0,0,0,0,0,0,0,9,9,6,202
203,0,0,165,9,17,34,17,34,2,2,0,0,42,1,1.0,0,4,0,1,0,0,9,9,6,203
204,0,0,166,9,33,97,33,97,10,2,0,0,15,0,1.0,0,1,0,0,0,0,9,9,6,204
205,0,0,167,9,26,73,26,73,5,2,0,0,31,23,1.0,1,0,4,3,0,0,9,9,6,205
206,0,0,168,9,26,98,26,98,9,2,0,0,22,3,1.0,1,1,6,3,0,0,9,9,6,206
207,4,2,169,9,1,4,1,4,7,3,0,0,36,4,0.0,0,4,1,2,0,0,9,9,6,207
208,6,1,45,9,1,4,1,4,1,3,0,0,36,4,1.0,0,4,1,2,0,0,9,9,6,208
209,0,0,170,9,50,99,50,99,10,3,0,0,4,15,,1,2,3,3,0,0,9,9,6,209
210,0,0,76,9,55,100,55,100,5,3,0,0,33,12,,0,2,0,0,0,0,9,9,6,210
211,0,0,171,9,66,101,66,101,6,3,0,0,51,17,1.0,0,4,2,1,0,0,9,9,6,211
212,0,0,172,9,22,102,22,102,9,3,0,0,18,10,0.0,0,4,2,1,0,0,9,9,6,212
213,0,0,173,10,38,103,38,103,3,0,0,0,55,22,0.0,1,4,3,3,0,0,10,10,8,213
214,0,0,174,10,15,31,15,31,2,0,0,0,36,10,0.0,0,4,2,1,0,0,10,10,8,214
215,7,1,175,10,1,4,1,4,5,0,0,0,36,4,1.0,0,4,1,2,0,0,10,10,8,215
216,2,2,176,10,1,4,1,4,9,0,0,0,29,4,0.0,0,4,1,2,0,0,10,10,8,216
217,7,1,177,10,1,4,1,4,1,1,0,0,42,4,1.0,0,4,1,2,0,0,10,10,8,217
218,0,0,178,10,2,78,2,78,2,1,0,0,55,9,0.0,0,3,0,0,0,0,10,10,8,218
219,0,0,179,10,29,104,29,104,9,1,0,0,12,23,0.0,0,3,0,0,0,0,10,10,8,219
220,7,1,180,10,1,4,1,4,7,2,0,0,42,4,1.0,0,4,1,2,0,0,10,10,8,220
221,2,2,39,10,1,4,1,4,0,2,0,0,4,4,1.0,0,4,1,2,0,0,10,10,8,221
222,0,0,181,10,84,105,84,105,3,2,0,0,2,0,0.0,0,3,0,0,0,0,10,10,8,222
223,0,0,6,10,57,104,57,104,1,2,0,0,1,12,1.0,0,3,0,0,0,0,10,10,8,223
224,0,0,182,10,7,51,7,51,2,2,0,0,49,7,0.0,0,4,2,1,0,0,10,10,8,224
225,3,0,183,10,15,106,15,106,11,2,0,0,32,13,1.0,0,1,2,1,0,0,10,10,8,225
226,4,2,184,10,1,4,1,4,6,2,0,0,52,4,0.0,0,4,1,2,0,0,10,10,8,226
227,1,1,96,10,1,4,1,4,9,2,0,0,20,4,,0,4,1,2,0,0,10,10,8,227
228,0,0,185,10,83,78,83,78,7,3,0,0,29,20,0.0,1,3,3,3,0,0,10,10,8,228
229,0,0,186,10,29,15,29,15,0,3,0,0,3,3,0.0,0,2,0,0,0,0,10,10,8,229
230,4,2,187,10,1,4,1,4,0,3,0,0,7,4,0.0,0,4,1,2,0,0,10,10,8,230
231,2,2,188,10,1,4,1,4,0,3,0,0,19,4,0.0,0,4,1,2,0,0,10,10,8,231
232,3,0,150,10,24,107,24,107,8,3,0,0,25,17,1.0,0,4,2,1,0,0,10,10,8,232
233,0,0,189,10,6,5,6,5,6,3,0,0,38,0,0.0,0,2,0,0,0,0,10,10,8,233
234,0,0,190,10,85,108,85,108,9,3,0,0,59,25,0.0,0,1,0,0,0,0,10,10,8,234
235,0,0,0,11,86,109,86,109,0,0,0,0,6,0,1.0,0,2,0,0,0,0,11,11,9,235
236,0,0,31,11,3,69,3,69,4,0,0,0,10,0,0.0,0,4,0,0,0,0,11,11,9,236
237,0,0,191,11,38,91,38,91,11,0,0,0,27,8,0.0,1,4,3,3,0,0,11,11,9,237
238,4,2,82,11,1,4,1,4,8,0,0,0,8,4,1.0,0,4,1,2,0,0,11,11,9,238
239,2,2,192,11,1,4,1,4,8,0,0,0,25,4,0.0,0,4,1,2,0,0,11,11,9,239
240,7,1,193,11,1,4,1,4,8,0,0,0,19,4,1.0,0,4,1,2,0,0,11,11,9,240
241,0,0,194,11,14,104,14,104,6,0,0,0,49,15,1.0,1,3,3,3,0,0,11,11,9,241
242,11,1,195,11,1,4,1,4,0,1,0,0,39,4,1.0,0,4,1,2,0,0,11,11,9,242
243,0,0,196,11,87,110,87,110,3,1,0,0,13,0,1.0,0,2,0,0,0,0,11,11,9,243
244,11,1,88,11,1,4,1,4,5,1,0,0,52,4,1.0,0,4,1,2,0,0,11,11,9,244
245,0,0,36,11,3,111,3,111,8,1,0,0,24,0,1.0,0,3,0,0,0,0,11,11,9,245
246,1,1,91,11,1,4,1,4,3,2,0,0,3,4,1.0,0,4,1,2,0,0,11,11,9,246
247,4,2,162,11,1,4,1,4,3,2,0,0,7,4,1.0,0,4,1,2,0,0,11,11,9,247
248,0,0,197,11,77,78,77,78,2,2,0,0,59,15,1.0,1,3,3,3,0,0,11,11,9,248
249,12,1,198,11,1,4,1,4,2,2,0,0,11,4,0.0,0,4,1,2,0,0,11,11,9,249
250,8,0,199,11,88,25,88,25,10,2,0,0,25,2,0.0,0,0,0,0,0,0,11,11,9,250
251,2,2,200,11,1,4,1,4,8,2,0,0,34,4,0.0,0,4,1,2,0,0,11,11,9,251
252,4,2,168,11,1,4,1,4,8,2,0,0,10,4,1.0,0,4,1,2,0,0,11,11,9,252
253,2,2,187,11,1,4,1,4,6,2,0,0,26,4,1.0,0,4,1,2,0,0,11,11,9,253
254,0,0,30,12,65,111,65,111,0,0,0,0,28,14,0.0,0,4,2,2,0,0,12,12,10,254
255,3,0,201,12,73,109,73,109,1,0,0,0,28,27,1.0,0,1,0,1,0,0,12,12,10,255
